ID,Text,Comment
WildfirePreview.FireBell_Folktails,Fire Bell [Art Preview],
WildfirePreview.WardenStation_Ironteeth,Warden Station [Art Preview],
WildfirePreview.BrigadeBucket,Brigade Bucket [Art Preview],
WildfirePreview.WardenSprayer,Warden Sprayer [Art Preview],
WildfirePreview.WardenHelmet,Warden Helmet [Art Preview],
WildfirePreview.WardenCoat,Warden Coat [Art Preview],
WildfirePreview.SmokeFan,Smoke Fan [Art Preview],
WildfirePreview.FireBerm,Fire Berm [Art Preview],
WildfirePreview.NativeLodge,Native Folktails Lodge [Reference],
WildfirePreview.NativeBarrack,Native Iron Teeth Barrack [Reference],
WildfirePreview.Description,Static art preview. No firefighting behavior. Gear is displayed at ground level for scale review.,
